Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,Degree,Graduation Specialization,Graduation Percentage
310,Sameera Mathur,Female,3/28/2000,27,7.58,B.Com. (Hons.),General,73.8
311,Mohan Chhabra,Male,7/24/2002,22,7.57,B.Com. (Hons.),General,77.9
312,Ayesha Pannu,Female,7/22/2002,24,7.34,B.Com. (Hons.),General,71.9
313,Nitin Singh,Male,8/25/1998,23,7.28,BMS,Retail Management and IT,84.3
314,Jaya Patel,Female,7/29/2002,23,7.47,B.Sc. (Hons.),Statistics,89.2
315,Abhay Goswami,Male,2/27/2001,22,7.46,B.B.A.,General,77.9
316,Aman Chhabra,Male,9/18/2001,22,7.18,B.Com.,Commerce,74.07
317,Jaya Dhillon,Female,2/17/2001,28,8,B.Com. (Hons.),General,67.06
318,Vivek Gupta,Male,8/16/2002,23,5.95,B.Tech,Civil Engineering,81.7
319,Anushka Goswami,Female,11/25/2001,24,7.08,B.B.A.,General,71.9
320,Hemant Mann,Male,2/15/1993,27,6.78,B.Sc.,Life Science,71.7
321,Ravi Deshpande,Male,8/25/1998,23,7.28,B.B.A.,Management,75.62
322,Farah Tripathi,Female,7/21/2000,25,6.35,B.B.A.,Commerce,63.65
323,Varun Pannu,Male,11/26/2002,22,7.57,B.B.A.,General,82.9
324,Rajni Talwar,Female,8/31/1992,23,7.7,B.Com. (Hons.),General,80.7
325,Simran Nair,Female,8/16/1999,27,7.53,B.Com.,Civil Engineering,68.9
326,Sameera Deshpande,Female,9/14/1999,22,7.47,B.A. (Hons.),Economics,76.51
327,Siddharth Kaur,Male,11/27/1998,23,7.45,B.B.A.,General,75.27
328,Kritika Chopra,Female,7/24/2000,23,7.55,B.B.A.,General,83.9
329,Bharat Rana,Male,8/27/1995,27,7.66,B.Tech,Electronics And Communication Engineering,70
330,Tanvi Sidhu,Female,6/24/1996,28,8.33,B.Com. (Hons.),General,67.56
331,Aarushi Bhandari,Female,7/23/2000,24,7.7,B.B.A.,General,60
332,Hemlata Kaur,Female,3/25/2002,26,6.98,B.Tech,Electronics And Communication Engineering,81.7
333,Kabir Oberoi,Male,1/23/2000,22,7.64,B.B.A.,General,82.9
334,Pradeep Reddy,Male,8/17/1998,24,7.51,B.B.A.,General,79.1
335,Vishal Behera,Male,7/24/2000,21,7.09,B.B.A.,General,77.75
336,Vijay Tiwari,Male,5/30/1999,24,6.67,B.B.A.,Finance,71.95
337,Samarth Bose,Male,4/18/2001,23,7.04,B.Sc. (Hons.),Physics,82.8
338,Farah Tripathi,Female,3/28/1996,24,7.77,B.A. (Hons.),Economics,76.86
339,Kiran Bose,Female,3/25/2002,22,7.83,B.Com. (Hons.),General,82.69
340,Rajat Venkatesh,Male,5/30/1999,24,7.73,B.E.,Hotel Management,82.4
341,Shubham Venkatesh,Male,1/20/1999,23,6.93,B.B.A.,General,74.76
342,Tanvi Deshpande,Female,3/13/2002,23,6.93,B.B.A.,General,66
343,Farah Ahluwalia,Female,4/29/2000,22,7.81,B.Com. (Hons.),Human Resource Management,70.04
344,Vidya Hanjra,Female,10/21/1999,23,8.02,B.Com.,General,63.25
345,Trisha Rawat,Female,4/29/2000,22,7.81,B.Com. (Hons.),General,78.7
346,Nitin Joshi,Male,11/23/1999,22,7.13,B.Sc.,Hospitality And Hotel Administeration,81.6
347,Sharad Lal,Male,11/26/2002,27,6.74,B.B.A.,Electrical Engineering,67.9
348,Anjali Mohanty,Female,3/30/2001,23,7.6,B.Com. (Hons.),Accounting,82.13
349,Sachin Grewal,Male,3/27/2002,23,7.01,B.B.A.,General,84.3
350,Parth Kaur,Male,3/30/2001,22,8.33,B.B.A.,General,82.5
351,Rakesh Dhillon,Male,3/31/2001,23,6.91,B.Com. (Hons.),Mechanical Engineering,79.1
352,Uday Mahajan,Male,1/23/2000,28,5.67,B.Sc.,Physical Science With Computer Science,88
353,Sandeep Mishra,Male,2/28/2001,22,6.38,B.Tech,Commerce,80.6
354,Jitendra Purohit,Male,4/20/2000,23,6.98,B.Sc. (Hons.),Marketing Management And Retail Business,60
355,Kritika Bhatnagar,Female,7/20/2000,22,7.13,B.A. (Hons.),Economics,58
356,Tushar Ahluwalia,Male,7/25/2002,25,8.28,B.Com.,Electronics And Communication Engineering,75.48
357,Nikhil Bose,Male,3/28/2002,24,7.19,B.Com.,General,61.8
358,Vimal Sodhi,Male,8/28/1999,25,6.85,B.Tech,Information Technology,76.2
359,Fatima Gupta,Female,3/18/1998,24,7.26,B.Tech,Electronics And Communication Engineering,68.87
360,Tanvi Pannu,Female,4/17/2001,23,6.34,B.Com.,Electronics And Communication Engineering,71.5
361,Sameera Gill,Female,7/16/2000,21,6.68,B.B.A.,General,81.4
362,Siddharth Kalra,Male,8/18/2000,25,7.6,B.Tech,Mechanical Engineering,82.3
363,Vivek Hooda,Male,8/18/1998,26,7.19,B.Tech,Computer Science Engineering,67.5
364,Yash Kulkarni,Male,5/30/1999,24,8,B.Tech,Computer Science Engineering,79.84
365,Sadia Singh,Female,8/25/2001,27,7.53,B.Com.,Financial Accounting And Auditing,63.77
366,Bhavya Kalra,Female,10/22/2000,23,6.68,B.Com. (Hons.),Finance,82
367,Gaurav Menon,Male,10/23/2000,25,6.13,B.Sc. (Hons.),Bio-Technology,84.5
368,Kunal Gill,Male,2/20/2002,22,6.83,B.Sc. (Hons.),Hotel Management,81.6
369,Kanika Mishra,Female,8/27/2001,24,7.26,B.Com.,Accounting And Finance,68
370,Siddhesh Behera,Male,11/29/1999,25,7.22,B.Com. (Hons.),Accountancy,74.5
371,Rahul Hanjra,Male,2/19/2002,31,6.82,B.Sc.,Life Science,57.4
372,Riya Mishra,Female,7/27/2002,22,7.08,B.B.A.,Finance,81.7
373,Tanvi Rana,Female,3/28/2000,22,8.39,B.Com.,General,85.1
374,Sanya Thakur,Female,7/17/2000,21,7.7,B.Com.,Accounting And Finance,87
375,Aradhana Patel,Female,7/30/2001,25,6.08,B.B.A.,Commerce,71
376,Geeta Chahal,Female,4/17/2001,28,8.22,B.Com. (Hons.),Accounting And Finance,67.56
377,Siddhesh Rana,Male,8/21/2000,24,6.85,B.Sc.,Hospitality And Hotel Administeration,72.3
378,Anil Kataria,Male,5/30/1999,24,7.73,B.Com. (Hons.),General,60
379,Jayant Suri,Male,6/30/1998,24,7.62,B.Sc.,Physics Honers,82.4
380,Ishita Sandhu,Female,4/17/2001,21,8.26,B.Sc.,Database Management Systems,90.52
381,Vivaan Bhatia,Male,2/19/2002,23,7.64,B.Com. (Hons.),Finance,73.54
382,Tejas Guha,Male,5/25/1999,24,7.23,B.Sc.,Botany,68.55
383,Rajat Grewal,Male,8/14/2002,25,6.43,B.B.A.,Management Accounting,65.8
384,Garima Malhotra,Female,10/21/1999,26,8.02,B.Com. (Hons.),General,66.59
385,Diya Kataria,Female,7/20/2000,24,8.31,B.Com. (Hons.),General,73.81
386,Deepak Thakur,Male,7/23/2000,24,7.22,B.Tech,General,80.3
387,Aradhana Rout,Female,4/15/2002,23,6.87,B.Com.,Electronics And Communication Engineering,59.8
388,Jyoti Shetty,Female,8/20/2002,21,8.09,B.B.A.,Marketing,85.6
389,Ragini Chaudhary,Female,8/27/2001,22,7.9,B.B.A.,General,82.03
390,Vaishnavi Ahluwalia,Female,1/13/2003,29,7.1,B.Sc.,Physical Science With Computer Science,80.13
391,Sameera Kataria,Female,7/14/1998,22,7.92,B.A. (Hons.),Political Science,76.38
392,Lakshay Singh,Male,5/30/1999,25,7.36,B.E.,Zoology,74.5
393,Fatima Kataria,Female,2/28/1998,24,7.26,B.Tech,General,68.87
394,Saket Mishra,Male,7/25/2000,26,7.96,B.E.,Hotel Management,63.63
395,Bharat Menon,Male,10/18/2001,26,6.38,B.Tech,Finance,73.7
396,Tanya Iyer,Female,5/31/2001,22,8.73,B.Com.,General,84.05
397,Lakshay Sodhi,Male,8/27/1995,23,7.32,B.B.A.,General,86.7
398,Fatima Rastogi,Female,7/29/2002,24,7.08,B.Com. (Hons.),General,78.82
399,Harendra Rastogi,Male,3/17/1994,22,7.45,B.B.A.,General,85.1
400,Meera Sangwan,Female,5/20/2000,25,6.87,Bachelor of Architecture,Biology,87.69
401,Devendra Rastogi,Male,4/27/2001,22,8.26,B.Com.,General,71.33
402,Charu Gill,Female,4/18/2001,21,8.31,B.Com.,General,82.93
403,Ira Bhullar,Female,8/22/2000,22,7.27,B.B.A.,General,81.1
404,Parth Singh,Male,8/16/1999,22,6.97,B.Tech,Civil Engineering,73.6
405,Divya Deshpande,Female,5/31/2001,27,7.58,B.Tech,Electronics And Communication Engineering,73.8
406,Ira Mahajan,Female,4/17/2001,22,7.13,B.Sc. (Hons.),Physics,72.7
407,Uday Chaudhary,Male,8/24/2002,23,7.3,B.E.,Physical Science With Chemistry,89.2
408,Ashwin Rastogi,Male,9/28/1999,23,6.9,B.Tech,Electrical And Electronics Engineering,80.5
409,Geeta Talwar,Female,8/18/1998,22,7.55,B.Com. (Hons.),Marketing And Finance,71.96
410,Ananya Nair,Female,4/17/2001,23,7.57,B.B.A.,General,87.4
411,Riya Bajwa,Female,9/23/2002,21,7.6,B.Sc. (Hons.),General,83.3
412,Abhay Mishra,Male,5/14/2002,23,6.69,B.C.A.,Computer Applications,73.1
413,Yash Rana,Male,9/30/2000,24,7.75,B.Com. (Hons.),Mechanical Engineering,67.54
414,Sanya Goswami,Female,10/22/2001,24,6.66,B.C.A.,Database Management Systems,68
415,Rajendra Mathur,Male,2/28/1998,26,7.08,B.Tech,Computer Science Engineering,73.7
416,Sanya Bajwa,Female,9/30/2000,23,7.6,B.Voc,Finance And Accounting,84.32
417,Jaya Hooda,Female,5/23/2002,24,7.56,B.Com. (Hons.),General,76.86
418,Kunal Mittal,Male,11/17/2001,24,6.13,B.B.A.,Management,86.5
419,Sameera Bedi,Female,9/29/2001,22,7.1,B.Sc.,Mathematics,74.01
420,Rohan Bedi,Male,4/30/1999,23,7.32,B.B.A.,General,86.7
421,Arvind Mittal,Male,1/21/2000,28,6.86,B.Tech,Commerce,73.85
422,Rajni Ahluwalia,Female,7/25/2000,24,7.08,B.Com. (Hons.),General,71.9
423,Kiran Malhotra,Male,3/28/2002,23,6.93,B.Com. (Hons.),Commerce,74.76
424,Smriti Menon,Female,7/25/2002,23,7.98,B.Sc. (Hons.),Computer Science Engineering,73
425,Chandan Kataria,Male,8/28/1999,25,6.81,B.Tech,Information Technology,76.2
426,Vikram Reddy,Male,4/27/2001,22,7.13,B.B.A.,Marketing,77.75
427,Vishal Chopra,Male,1/23/2001,22,6.44,B.Com.,Commerce,77.81
428,Aman Patel,Male,4/27/2001,23,7.19,B.Com.,Mechanical Engineering,83.58
429,Aman Kulkarni,Male,10/16/2001,26,6.64,B.Tech,Commerce,88.7
430,Rajat Talwar,Male,5/31/2001,24,8,B.Sc. (Hotel And Hospitality Administration),Computer Applications,64.05
431,Geeta Nair,Female,8/20/2001,21,6.6,B.Sc. (Hons.),General,78.57
432,Siddharth Naidu,Male,9/14/2000,23,6.44,B.B.A.,General,78.83
433,Ayesha Chhabra,Female,8/14/1998,25,7.51,B.B.A.,General,79.1
434,Rajendra Kulkarni,Male,12/14/1996,24,7.88,B.B.A.,Finance,77.71
435,Aditi Bajwa,Female,10/28/1999,25,7.06,B.Tech,Electronics And Communication Engineering,88.7
436,Kajal Singh,Female,7/20/2002,23,6.7,B.Sc.,Electrical Engineering,74.01
437,Jayant Kohli,Male,4/22/2001,24,7.36,B.Com. (Hons.),General,58.72
438,Riya Mathur,Female,7/16/2000,24,7.34,B.Com. (Hons.),General,78.82
439,Ravi Bhatnagar,Male,2/24/1999,26,6.38,B.Tech,Finance,88.7
440,Rakesh Mishra,Male,2/18/2000,22,7.83,B.Com. (Hons.),Commerce,82.9
441,Prakash Kalra,Male,3/25/2002,22,6.71,B.Com. (Hons.),Accounting,73
442,Ankit Sandhu,Male,7/13/2001,23,7.23,B.Com. (Hons.),Commerce,85.32
443,Dhruv Aggarwal,Male,8/27/1995,29,6.53,B.Com.,Electronics Engineering,88
444,Tanya Guha,Female,11/25/2001,24,7.34,B.Sc. (Hons.),Food Technology,78.82
445,Shraddha Grewal,Female,5/14/2001,21,8.18,B.Com.,General,83.3
446,Sadia Suri,Female,2/27/2001,23,6.44,B.B.A.,Marketing And Finance,72.81
447,Shailee Bose,Female,2/17/2001,25,7.17,B.Tech,Commerce,69.2
448,Saurabh Chahal,Male,4/18/2001,22,6.78,B.B.A.,Marketing,68.81
449,Parth Bhandari,Male,9/25/2002,24,6.8,B.Sc.,Computer Science Hons.,72.3
450,Naveen Chhabra,Male,10/18/2001,23,8.13,B.Sc.,Physics,81.11
451,Rajat Kataria,Male,7/24/2002,24,6.58,B.Com. (Hons.),Accounting And Finance,86.5
452,Sonali Sidhu,Female,3/15/2002,26,6.67,B.Sc.,Biology,63.63
453,Bhavesh Rana,Male,9/20/1998,22,6.52,B.B.A.,General,69.83
454,Rishi Bose,Male,3/18/1997,24,7.27,B.Com. (Hons.),General,65.73
455,Harini Verma,Female,7/29/2002,22,7.87,B.Tech,Commerce,65.94
456,Omkar Dhar,Male,7/24/2000,21,6.23,B.B.A.,General,77.81
457,Vikram Sidhu,Male,9/30/2000,23,6.82,B.Com. (Hons.),Commerce,92.3
458,Ashok Thakur,Male,8/18/2000,22,7.94,B.B.A.,Marketing,94.6
459,Samarth Singh,Male,11/13/2000,21,6.78,B.B.A.,General,69.83
460,Raj Sandhu,Male,2/15/1993,22,6.98,B.Tech,General,77.57
461,Mahesh Aggarwal,Male,7/29/1993,21,7.73,BMS,Law,95.03
462,Sonali Garg,Female,4/22/2000,22,7.83,B.Com. (Hons.),General,82.27
463,Ananya Bhullar,Female,7/14/2002,24,7.4,B.Tech,Commerce,83.4
464,Shreya Patel,Female,8/23/2000,24,5.06,B.Sc.,General,68
465,Sandeep Saxena,Male,7/23/2000,21,8.6,B.Com. (Hons.),General,88.1
466,Anil Pillai,Male,11/18/2000,25,7.6,B.Com. (Hons.),Commerce,75.6
467,Rudra Sodhi,Male,3/15/2002,24,6.42,B.Com.,Commerce,54.19
468,Nitin Bajwa,Male,9/14/2000,25,7.88,B.Tech,General,90.7
469,Keshav Rana,Male,3/25/2002,22,8.28,B.B.A.,Human Resource Management,88.1
470,Aryan Mehta,Male,5/26/1999,25,7.22,B.Com. (Hons.),Accountancy,80.6
471,Lakshay Mahajan,Male,3/31/2002,24,7.19,B.B.A.,Marketing & Accounting and Finance,71.5
472,Vishal Rana,Male,7/29/1993,22,7.57,B.Com. (Hons.),General,77.9
473,Ira Guha,Female,8/20/2002,22,6.63,B.Com.,General,71.5
474,Harish Yadav,Male,12/30/2000,25,6.83,B.B.A.,Marketing & Accounting and Finance,70
475,Zoya Singh,Female,9/14/1999,23,6.81,B.C.A.,Biology,77.62
476,Anushka Bhatnagar,Female,7/27/2002,23,7.47,B.Sc. (Hons.),Statistics,89.2
477,Anjali Bains,Female,3/28/1996,22,7.51,B.Com. (Hons.),Human Resource Management,86.5
478,Sneha Bose,Female,8/14/2002,23,6.81,B.A. (Hons.),Economics,74.01
479,Sachin Mathur,Male,7/24/2000,24,7.62,B.Com. (Hons.),General,84.6
480,Rekha Iyer,Female,2/20/2002,26,7.17,B.Sc.,Biology,61.56
481,Kartik Bhatnagar,Male,3/31/2001,23,7.79,B.Com. (Hons.),Commerce,81.13
482,Dinesh Yadav,Male,11/17/2001,24,7.73,B.Tech,Computer Science Engineering,86.5
483,Pradeep Tripathi,Male,1/20/2002,25,7.3,B.Tech,General,75.5
484,Ira Kapoor,Female,3/13/2000,21,7.17,B.Com. (Hons.),General,81.1
485,Anurag Gill,Male,6/23/2000,22,6.52,B.Sc.,Physics,82.8
486,Garima Sandhu,Female,11/21/1999,24,8.24,B.A. (Hons.),English,79.46
487,Aakash Kalra,Male,5/26/1999,27,7.35,B.B.A.,General,59.31
488,Manish Oberoi,Male,2/24/1999,26,6.38,B.Tech,General,79.1
489,Bhavya Bedi,Female,8/14/1998,27,7.17,B.Tech,General,67.5
490,Varsha Menon,Female,12/28/2000,23,6.97,B.A. (Hons.),Economics,74.01
491,Ashok Kalra,Male,12/31/1998,22,6.5,B.Com.,Commerce,78.9
492,Urmila Gill,Female,3/27/2002,23,7.71,B.B.A.,Accounting And Finance,79.4
493,Rekha Reddy,Female,9/20/1998,22,7.1,B.B.A.,General,66
494,Chetan Yadav,Male,2/26/2000,29,6.16,B.Tech,Mechanical Engineering,68.38
495,Alisha Deshpande,Female,8/25/1998,23,7.21,B.A. (Hons.),Economics,66.75
496,Anil Verma,Male,5/14/2001,22,6.83,B.B.A.,Human Resource Management,77.75
497,Alisha Krishna,Female,6/30/1998,23,7.32,B.A. (Hons.),Economics,72.89
498,Diya Chopra,Female,8/26/1994,29,8,B.D.S.,Textile Design,64.13
499,Surbhi Patel,Female,4/29/2000,21,8.09,B.Com. (Hons.),Commerce,77.23
500,Nidhi Yadav,Female,7/27/2002,22,8.01,B.A. (Hons.),English,89.7
